sessionID,userID,kWhDelivered,Estimated_Revenue
2_39_78_362_2018-04-25 11:08:04.400812,,7.932,2.1448128
2_39_95_27_2018-04-25 13:45:09.617470,,10.013,2.707515
2_39_79_380_2018-04-25 13:45:49.962001,,5.257,1.4214927
2_39_79_379_2018-04-25 14:37:06.460772,,5.177,1.3998607
2_39_79_381_2018-04-25 14:40:33.638896,,10.119,2.7361777
2_39_139_28_2018-04-25 14:43:49.647430,,7.91,2.1388638
2_39_91_441_2018-04-25 14:47:41.776352,,15.294,4.135497
2_39_79_377_2018-04-25 14:58:25.255583,,6.953,1.8800912
2_39_79_382_2018-04-25 15:10:51.871020,,2.174,0.58784956
2_39_78_362_2018-04-25 15:12:10.901351,,2.439,0.65950555
2_39_78_366_2018-04-25 15:14:06.329009,,6.955,1.8806319
2_39_91_437_2018-04-25 15:14:41.260754,,3.249,0.8785296
2_39_78_361_2018-04-25 15:14:48.537248,,2.72,0.735488
2_39_78_360_2018-04-25 15:20:55.688491,,2.575,0.69628
2_39_125_21_2018-04-25 15:30:31.466431,,5.4,1.46016
2_39_78_365_2018-04-25 15:31:42.314475,,4.929,1.3328015
2_39_127_19_2018-04-25 15:33:45.414350,,4.043,1.0932273
2_39_79_383_2018-04-25 15:44:41.818763,,2.49,0.673296
2_39_89_25_2018-04-25 15:48:22.693006,,5.95,1.6088799
2_39_95_444_2018-04-25 15:51:20.521751,,4.474,1.2097695
2_39_124_22_2018-04-25 15:53:29.117069,,6.531,1.7659824
2_39_89_439_2018-04-25 15:57:29.146101,,6.023,1.6286191
2_39_92_442_2018-04-25 15:59:23.996834,,9.553,2.5831313
2_39_123_23_2018-04-25 16:01:25.950919,,14.693,3.972987
2_39_90_440_2018-04-25 16:02:03.486354,,2.207,0.5967728
2_39_78_364_2018-04-25 16:02:09.867816,,9.153,2.474971
2_39_88_24_2018-04-25 16:03:58.630483,,17.446,4.717398
2_39_90_26_2018-04-25 16:04:30.761826,,4.548,1.2297791
2_39_88_438_2018-04-25 16:25:51.104829,,32.708,8.844243
2_39_78_363_2018-04-25 16:38:01.120020,,6.764,1.8289855
2_39_79_378_2018-04-25 16:52:05.160592,,10.879,2.9416814
2_39_123_557_2018-04-25 17:06:18.267849,,5.07,1.3709279
2_39_79_382_2018-04-25 18:22:03.219076,,6.337,1.7135247
2_39_78_366_2018-04-25 18:47:11.743708,,2.375,0.6422
2_39_78_362_2018-04-25 19:32:04.994953,,6.523,1.7638191
2_39_78_367_2018-04-25 19:33:01.165970,,2.203,0.5956912
2_39_91_441_2018-04-25 19:40:02.051458,,7.738,2.092355
2_39_79_377_2018-04-25 19:41:42.209444,,12.94,3.4989758
