State_Full,Total_Revenue,AOV,Session_Count,Avg_kWh,State_Abbr,EV_Count,Station_Count,Elec_Price
37.443676,94107.0,94107.0,1.0,3.471,0,0.0,0.0,0.0
623575,25499.5312,25499.5312,1.0,94303.0,0,0.0,0.0,0.0
94301,1.6037423999999998,1.6037423999999998,1.0,5.931,0,0.0,0.0,0.0
Alabama,0.0,0.0,0.0,0.0,AL,3.0,0.0,11.9
Alaska,0.0,0.0,0.0,0.0,AK,1.0,0.0,22.17
Arizona,0.0,0.0,0.0,0.0,AZ,11.0,0.0,12.74
Arkansas,0.0,0.0,0.0,0.0,AR,2.0,0.0,9.59
California,225109.6781860096,2.2512993988059886,99991.0,8.637292534568111,CA,92.0,3.0,27.04
Colorado,0.0,0.0,0.0,0.0,CO,11.0,0.0,12.07
Connecticut,0.0,0.0,0.0,0.0,CT,7.0,0.0,24.37
Delaware,0.0,0.0,0.0,0.0,DE,1.0,0.0,13.56
District of Columbia,0.0,0.0,0.0,0.0,0,0.0,0.0,16.88
East North Central,0.0,0.0,0.0,0.0,0,0.0,0.0,12.22
East South Central,0.0,0.0,0.0,0.0,0,0.0,0.0,10.99
Florida,0.0,0.0,0.0,0.0,FL,9.0,1.0,12.53
Georgia,0.0,0.0,0.0,0.0,GA,5.0,0.0,11.4
Hawaii,0.0,0.0,0.0,0.0,HI,8.0,0.0,38.0
Idaho,0.0,0.0,0.0,0.0,ID,2.0,0.0,9.51
Illinois,0.0,0.0,0.0,0.0,IL,12.0,0.0,12.21
Indiana,0.0,0.0,0.0,0.0,IN,2.0,0.0,11.38
Iowa,0.0,0.0,0.0,0.0,0,0.0,0.0,9.34
Kansas,0.0,0.0,0.0,0.0,KS,2.0,0.0,11.21
Kentucky,0.0,0.0,0.0,0.0,KY,3.0,0.0,10.07
Louisiana,0.0,0.0,0.0,0.0,LA,3.0,0.0,8.8
Maine,0.0,0.0,0.0,0.0,0,0.0,0.0,19.66
Maryland,0.0,0.0,0.0,0.0,MD,33.0,0.0,15.04
Massachusetts,0.0,0.0,0.0,0.0,MA,3.0,2.0,23.94
Michigan,0.0,0.0,0.0,0.0,0,0.0,0.0,14.16
Middle Atlantic,0.0,0.0,0.0,0.0,0,0.0,0.0,16.11
Minnesota,0.0,0.0,0.0,0.0,MN,1.0,0.0,12.35
Mississippi,0.0,0.0,0.0,0.0,MS,1.0,0.0,10.93
Missouri,0.0,0.0,0.0,0.0,MO,4.0,0.0,11.06
Montana,0.0,0.0,0.0,0.0,MT,1.0,0.0,10.83
Mountain,0.0,0.0,0.0,0.0,0,0.0,0.0,11.23
Nebraska,0.0,0.0,0.0,0.0,NE,3.0,0.0,9.07
Nevada,0.0,0.0,0.0,0.0,NV,6.0,0.0,11.47
New England,0.0,0.0,0.0,0.0,0,0.0,0.0,23.03
New Hampshire,0.0,0.0,0.0,0.0,NH,1.0,0.0,20.6
New Jersey,0.0,0.0,0.0,0.0,NJ,9.0,0.0,16.29
New Mexico,0.0,0.0,0.0,0.0,0,0.0,0.0,9.18
New York,0.0,0.0,0.0,0.0,NY,7.0,1.0,19.66
North Carolina,0.0,0.0,0.0,0.0,NC,13.0,0.0,11.65
North Dakota,0.0,0.0,0.0,0.0,0,0.0,0.0,7.93
Ohio,0.0,0.0,0.0,0.0,OH,2.0,0.0,11.29
Oklahoma,0.0,0.0,0.0,0.0,0,0.0,0.0,9.09
Oregon,0.0,0.0,0.0,0.0,OR,8.0,0.0,11.11
Pacific Contiguous,0.0,0.0,0.0,0.0,0,0.0,0.0,20.79
Pacific Noncontiguous,0.0,0.0,0.0,0.0,0,0.0,0.0,31.62
Pennsylvania,0.0,0.0,0.0,0.0,PA,2.0,0.0,12.51
Rhode Island,0.0,0.0,0.0,0.0,0,0.0,0.0,24.15
South Atlantic,0.0,0.0,0.0,0.0,0,0.0,0.0,11.92
South Carolina,0.0,0.0,0.0,0.0,SC,6.0,0.0,10.9
South Dakota,0.0,0.0,0.0,0.0,0,0.0,0.0,10.87
Tennessee,0.0,0.0,0.0,0.0,0,0.0,0.0,10.9
Texas,0.0,0.0,0.0,0.0,TX,20.0,0.0,9.79
U.S. Total,0.0,0.0,0.0,0.0,0,0.0,0.0,12.94
Utah,0.0,0.0,0.0,0.0,UT,2.0,0.0,9.97
Vermont,0.0,0.0,0.0,0.0,0,0.0,0.0,18.41
Virginia,0.0,0.0,0.0,0.0,VA,35.0,0.0,10.62
Washington,0.0,0.0,0.0,0.0,WA,150141.0,0.0,10.13
West North Central,0.0,0.0,0.0,0.0,0,0.0,0.0,10.52
West South Central,0.0,0.0,0.0,0.0,0,0.0,0.0,9.58
West Virginia,0.0,0.0,0.0,0.0,0,0.0,0.0,11.05
Wisconsin,0.0,0.0,0.0,0.0,0,0.0,0.0,12.72
Wyoming,0.0,0.0,0.0,0.0,WY,2.0,0.0,9.14
0,0.0,0.0,0.0,0.0,AP,1.0,0.0,0.0
0,0.0,0.0,0.0,0.0,Andhra Pradesh,0.0,89.0,0.0
0,0.0,0.0,0.0,0.0,BC,2.0,0.0,0.0
0,0.0,0.0,0.0,0.0,Bihar,0.0,84.0,0.0
0,0.0,0.0,0.0,0.0,California,0.0,273.0,0.0
0,0.0,0.0,0.0,0.0,Colorado,0.0,243.0,0.0
